pixel_id,district,lon,lat,x_utm50n_m,y_utm50n_m,rad_2013,rad_2014,rad_2015,rad_2016,rad_2017,rad_2018,rad_2019,rad_2020,rad_2021,rad_2022,rad_2023,rad_2024,mean_rad_2013_2024,median_rad_2013_2024,std_rad_2013_2024,min_rad_2013_2024,max_rad_2013_2024,range_rad_2013_2024,cv_rad_2013_2024,change_2024_minus_2013,growth_rate_2024_vs_2013,trend_slope_rad_per_year,z_mean_rad_2013_2024,z_std_rad_2013_2024,z_range_rad_2013_2024,z_cv_rad_2013_2024,z_change_2024_minus_2013,z_growth_rate_2024_vs_2013,z_trend_slope_rad_per_year
同安区_117.939901_24.855878,同安区,117.93990116236134,24.85587838558802,594958.2638067133,2749316.9262678563,0.0,0.0,0.0,0.0,0.0,0.0,1.3313096,0.9326282,3.9330537,3.524492,3.3561547,2.7844467,1.3218404083333333,0.4663141,1.6119696841801412,0.0,3.9330537,3.9330537,1.2194888838453826,2.7844467,2784.4467,0.38216857587410435,-0.7791608323081514,-0.49368828127389447,-0.5641480069678048,1.4399758630927026,-0.3561851415993653,1.0940671098147858,-0.3218509616503986
同安区_117.939901_24.86037,同安区,117.93990116236134,24.86036996200862,594954.833587144,2749814.3062424324,0.0,0.0,0.0,0.17935203,0.0,0.5803586,0.80249345,0.71945655,2.2462263,1.7920554,1.6083933,1.5010297,0.7857804441666666,0.649907575,0.8100617349044538,0.0,2.2462263,2.2462263,1.0309008590351696,1.5010297,1501.0296999999998,0.19666479038460455,-0.8120966686420479,-0.6483481075457636,-0.676561473653669,1.0613575991773625,-0.4607375823022018,0.5094607097004479,-0.46784031763480854
同安区_117.939901_24.864862,同安区,117.93990116236134,24.864861538429217,594951.4027851631,2750311.6865080134,0.0,0.0,0.0,0.0,0.0,0.9631481,1.068022,1.0192956,1.1648669,0.95345736,0.86282206,0.7629325,0.5662120433333333,0.8128772799999999,0.509247178582905,0.0,1.1648669,1.1648669,0.8993930535015261,0.7629325,762.9325,0.11125507958041397,-0.8255870790389223,-0.7063646505451966,-0.748625372359219,0.7973362909709053,-0.5208660235928576,0.17325170901986445,-0.5350567824752215
同安区_117.944393_24.846895,同安区,117.94439273878194,24.846895232746824,595418.9661857465,2748325.303312569,0.0,0.0,0.0,0.0,0.0,0.0,0.6975521,0.6468529,1.1618376,1.3498541,1.2302642,0.8805065,0.49723895,0.32342645,0.5558656741018749,0.0,1.3498541,1.3498541,1.1179045288022487,0.8805065,880.5065,0.13515463916083217,-0.8298248260547821,-0.6973735831483312,-0.7362974646879828,1.2360302934516976,-0.5112879607627756,0.22680757814661212,-0.5162481026294198
同安区_117.944393_24.851387,同安区,117.94439273878194,24.851386809167423,595415.5207384843,2748822.6831228766,0.0,0.0,0.0,0.0,0.0,0.6408408,1.479265,0.866292,3.3924046,3.010351,2.9323156,2.0030339,1.193708575,0.7535664,1.3290914002343515,0.0,3.3924046,3.3924046,1.1134136321625665,2.0030339,2003.0339000000001,0.3143216555943876,-0.7870333267563969,-0.5482455484647945,-0.6001779170769199,1.2270141563409196,-0.41984225026820593,0.7381275172963254,-0.37524571136412943
同安区_117.944393_24.855878,同安区,117.94439273878194,24.85587838558802,595412.0747059864,2749320.063224033,0.0,0.0,0.0,0.0,0.0,0.83433014,1.2623849,1.0461508,3.7946992,3.7083533,3.2559886,2.3152542,1.3514300950000002,0.94024047,1.5249823928816564,0.0,3.7946992,3.7946992,1.1284212172895678,2.3152542,2315.2542,0.361084509999979,-0.7773428247299514,-0.5104650688992519,-0.5733682205928559,1.2571440960975142,-0.3944074972596578,0.8803462861186322,-0.338443880174267
同安区_117.944393_24.86037,同安区,117.94439273878194,24.86036996200862,595408.6280882729,2749817.4436160764,0.0,0.0,0.0,0.114018634,0.0,0.9246014,0.8840244,0.8362698,1.6725544,1.5806465,1.367753,1.2109852,0.7159044445,0.8601471,0.6627504147428485,0.0,1.6725544,1.6725544,0.9257526194095984,1.2109852,1210.9852,0.16418199625873256,-0.8163898907487696,-0.6767592776864912,-0.7147920875382113,0.8502570058027191,-0.48436580320580047,0.3773431898156693,-0.49340390482790464
同安区_117.944393_24.864862,同安区,117.94439273878194,24.864861538429217,595405.180885364,2750314.8242990463,0.0,0.0,0.0,0.0,0.0,0.97986263,1.1449603,1.0339434,1.2803949,0.9967319,0.87594336,0.8101106,0.5934955908333334,0.84302698,0.5368003823304209,0.0,1.2803949,1.2803949,0.904472401516402,0.8101106,810.1106,0.11692563814684723,-0.8239107619939345,-0.7010506070709135,-0.7409263611982168,0.8075338309745693,-0.5170227010385183,0.19474169957261092,-0.5305941177861911
同安区_117.944393_24.869353,同安区,117.94439273878194,24.86935311484981,595401.7330972799,2750812.2052729814,0.0,0.0,0.0,0.0,0.50473994,0.7472354,1.129453,1.0343663,1.2545675,1.0291976,1.0594018,0.9422905,0.6417710033333334,0.84476295,0.5098744493706157,0.0,1.2545675,1.2545675,0.7944803469186794,0.9422905,942.2905000000001,0.1235948569230713,-0.8209446925402623,-0.7062436720823438,-0.7426475494890178,0.5867085649048877,-0.5062547813702757,0.2549506694603974,-0.5253455189422866
同安区_117.948884_24.748081,同安区,117.94888431520256,24.74808055149368,595948.8219232067,2737386.162818114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.8603754766736871,-0.8045805121540142,-0.8262543736764942,-0.26938105582078437,-0.5830176508243161,-0.17426996348036905,-0.6226132567276473
同安区_117.948884_24.752572,同安区,117.94888431520256,24.75257212791428,595945.3730248513,2737883.53666093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.8603754766736871,-0.8045805121540142,-0.8262543736764942,-0.26938105582078437,-0.5830176508243161,-0.17426996348036905,-0.6226132567276473
同安区_117.948884_24.757064,同安区,117.94888431520256,24.757063704334875,595941.9235380299,2738380.9107936574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.8603754766736871,-0.8045805121540142,-0.8262543736764942,-0.26938105582078437,-0.5830176508243161,-0.17426996348036905,-0.6226132567276473
同安区_117.948884_24.761555,同安区,117.94888431520256,24.761555280755463,595938.473462763,2738878.285216337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.8603754766736871,-0.8045805121540142,-0.8262543736764942,-0.26938105582078437,-0.5830176508243161,-0.17426996348036905,-0.6226132567276473
